time,prediction
2025-05-31 00:00:00,15.057360649108887
2025-05-31 01:00:00,14.848905563354492
2025-05-31 02:00:00,14.91508960723877
2025-05-31 03:00:00,14.903430938720703
2025-05-31 04:00:00,15.457348823547363
2025-05-31 05:00:00,16.98310089111328
2025-05-31 06:00:00,17.432626724243164
2025-05-31 07:00:00,19.095260620117188
2025-05-31 08:00:00,21.28521156311035
2025-05-31 09:00:00,22.175031661987305
2025-05-31 10:00:00,22.551837921142578
2025-05-31 11:00:00,23.16393280029297
2025-05-31 12:00:00,23.488037109375
2025-05-31 13:00:00,23.8055477142334
2025-05-31 14:00:00,24.203664779663086
2025-05-31 15:00:00,24.25263786315918
2025-05-31 16:00:00,24.372394561767578
2025-05-31 17:00:00,24.918365478515625
2025-05-31 18:00:00,24.278053283691406
2025-05-31 19:00:00,24.28892707824707
2025-05-31 20:00:00,23.15204429626465
2025-05-31 21:00:00,22.229074478149414
2025-05-31 22:00:00,21.7694091796875
2025-05-31 23:00:00,21.161970138549805
